#"Progress (%)"	"Step"	"Speed (ns/day)"	"Time Remaining"
: 10.0%	1000	0	--
: 20.0%	2000	262	0:10
: 30.0%	3000	263	0:09
: 40.0%	4000	262	0:07
: 50.0%	5000	258	0:06
: 60.0%	6000	259	0:05
: 70.0%	7000	257	0:04
: 80.0%	8000	256	0:02
: 90.0%	9000	253	0:01
: 100.0%	10000	252	0:00
: 10.0%	1000	0	--
: 20.0%	2000	12.3	3:44
: 30.0%	3000	20.1	2:00
: 40.0%	4000	25.4	1:21
: 50.0%	5000	29.2	0:59
: 60.0%	6000	32.1	0:43
: 70.0%	7000	34.6	0:29
: 80.0%	8000	36.6	0:18
: 90.0%	9000	38.1	0:09
: 100.0%	10000	39.5	0:00
: 10.0%	1000	42.4	--
: 20.0%	2000	45.9	11:03
: 30.0%	3000	49.2	4:55
: 40.0%	4000	52.5	2:51
: 50.0%	5000	55.6	1:48
: 60.0%	6000	58.7	1:10
: 70.0%	7000	61.7	0:44
: 80.0%	8000	64.5	0:26
: 90.0%	9000	67.4	0:11
: 100.0%	10000	70.1	0:00
: 10.0%	1000	34.2	--
: 20.0%	2000	35.2	14:23
: 30.0%	3000	36.1	6:41
: 40.0%	4000	37	4:03
: 50.0%	5000	37.7	2:40
: 60.0%	6000	38.3	1:48
: 70.0%	7000	38.9	1:11
: 80.0%	8000	39.4	0:42
: 90.0%	9000	39.9	0:19
: 100.0%	10000	40.3	0:00
: 10.0%	1000	42	--
: 20.0%	2000	43.8	22:06
: 30.0%	3000	45.5	9:45
: 40.0%	4000	47.2	5:36
: 50.0%	5000	48.8	3:32
: 60.0%	6000	50.5	2:16
: 70.0%	7000	52.1	1:26
: 80.0%	8000	53.7	0:49
: 90.0%	9000	55.3	0:21
: 100.0%	10000	56.8	0:00
: 10.0%	1000	37.6	--
: 20.0%	2000	38.1	25:24
: 30.0%	3000	38.5	11:30
: 40.0%	4000	38.9	6:48
: 50.0%	5000	39.3	4:23
: 60.0%	6000	39.7	2:54
: 70.0%	7000	40	1:52
: 80.0%	8000	40.3	1:06
: 90.0%	9000	40.6	0:29
: 100.0%	10000	40.8	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	43.1	33:09
: 30.0%	3000	44.2	14:34
: 40.0%	4000	45.4	8:22
: 50.0%	5000	46.5	5:15
: 60.0%	6000	47.6	3:23
: 70.0%	7000	48.7	2:07
: 80.0%	8000	49.8	1:13
: 90.0%	9000	50.9	0:32
: 100.0%	10000	52	0:00
: 10.0%	1000	38.9	--
: 20.0%	2000	39.2	36:28
: 30.0%	3000	39.4	16:21
: 40.0%	4000	39.7	9:34
: 50.0%	5000	40	6:07
: 60.0%	6000	40.2	4:00
: 70.0%	7000	40.5	2:33
: 80.0%	8000	40.7	1:29
: 90.0%	9000	40.9	0:40
: 100.0%	10000	41.1	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	42.8	44:07
: 30.0%	3000	43.7	19:23
: 40.0%	4000	44.5	11:07
: 50.0%	5000	45.4	6:58
: 60.0%	6000	46.2	4:29
: 70.0%	7000	47.1	2:48
: 80.0%	8000	47.9	1:36
: 90.0%	9000	48.7	0:42
: 100.0%	10000	49.6	0:00
: 10.0%	1000	39.6	--
: 20.0%	2000	39.8	47:26
: 30.0%	3000	40	21:09
: 40.0%	4000	40.2	12:18
: 50.0%	5000	40.4	7:50
: 60.0%	6000	40.6	5:06
: 70.0%	7000	40.8	3:14
: 80.0%	8000	40.9	1:53
: 90.0%	9000	41.1	0:50
: 100.0%	10000	41.2	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	42.6	55:08
: 30.0%	3000	43.3	24:12
: 40.0%	4000	44	13:52
: 50.0%	5000	44.7	8:41
: 60.0%	6000	45.4	5:35
: 70.0%	7000	46	3:30
: 80.0%	8000	46.7	2:00
: 90.0%	9000	47.4	0:52
: 100.0%	10000	48.1	0:00
: 10.0%	1000	40	--
: 20.0%	2000	40.2	58:29
: 30.0%	3000	40.3	25:59
: 40.0%	4000	40.5	15:04
: 50.0%	5000	40.6	9:34
: 60.0%	6000	40.8	6:12
: 70.0%	7000	40.9	3:56
: 80.0%	8000	41	2:17
: 90.0%	9000	41.2	1:00
: 100.0%	10000	41.3	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	42.4	1:06:13
: 30.0%	3000	43	29:03
: 40.0%	4000	43.6	16:38
: 50.0%	5000	44.2	10:25
: 60.0%	6000	44.7	6:41
: 70.0%	7000	45.3	4:11
: 80.0%	8000	45.9	2:24
: 90.0%	9000	46.4	1:03
: 100.0%	10000	47	0:00
: 10.0%	1000	40.3	--
: 20.0%	2000	40.4	1:09:33
: 30.0%	3000	40.5	30:49
: 40.0%	4000	40.7	17:50
: 50.0%	5000	40.8	11:17
: 60.0%	6000	40.9	7:19
: 70.0%	7000	41	4:37
: 80.0%	8000	41.2	2:40
: 90.0%	9000	41.3	1:11
: 100.0%	10000	41.4	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	42.4	1:17:14
: 30.0%	3000	42.9	33:52
: 40.0%	4000	43.4	19:23
: 50.0%	5000	43.8	12:09
: 60.0%	6000	44.3	7:47
: 70.0%	7000	44.8	4:52
: 80.0%	8000	45.3	2:47
: 90.0%	9000	45.8	1:13
: 100.0%	10000	46.3	0:00
: 10.0%	1000	40.5	--
: 20.0%	2000	40.6	1:20:29
: 30.0%	3000	40.8	35:37
: 40.0%	4000	40.9	20:35
: 50.0%	5000	41	13:00
: 60.0%	6000	41.1	8:24
: 70.0%	7000	41.2	5:18
: 80.0%	8000	41.3	3:04
: 90.0%	9000	41.4	1:21
: 100.0%	10000	41.5	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	42.3	1:28:10
: 30.0%	3000	42.8	38:38
: 40.0%	4000	43.2	22:07
: 50.0%	5000	43.6	13:51
: 60.0%	6000	44.1	8:53
: 70.0%	7000	44.5	5:33
: 80.0%	8000	44.9	3:11
: 90.0%	9000	45.4	1:23
: 100.0%	10000	45.8	0:00
: 10.0%	1000	40.7	--
: 20.0%	2000	40.8	1:31:27
: 30.0%	3000	40.9	40:24
: 40.0%	4000	41	23:18
: 50.0%	5000	41.1	14:42
: 60.0%	6000	41.2	9:30
: 70.0%	7000	41.3	5:59
: 80.0%	8000	41.4	3:27
: 90.0%	9000	41.5	1:31
: 100.0%	10000	41.6	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	42.3	1:39:02
: 30.0%	3000	42.7	43:24
: 40.0%	4000	43.1	24:50
: 50.0%	5000	43.5	15:33
: 60.0%	6000	43.9	9:58
: 70.0%	7000	44.3	6:14
: 80.0%	8000	44.7	3:34
: 90.0%	9000	45	1:34
: 100.0%	10000	45.4	0:00
: 10.0%	1000	40.9	--
: 20.0%	2000	41	1:42:20
: 30.0%	3000	41.1	45:10
: 40.0%	4000	41.1	26:02
: 50.0%	5000	41.2	16:25
: 60.0%	6000	41.3	10:35
: 70.0%	7000	41.4	6:40
: 80.0%	8000	41.5	3:51
: 90.0%	9000	41.5	1:41
: 100.0%	10000	41.6	0:00
: 10.0%	1000	42	--
: 20.0%	2000	42.3	1:50:01
: 30.0%	3000	42.7	48:12
: 40.0%	4000	43	27:35
: 50.0%	5000	43.3	17:16
: 60.0%	6000	43.7	11:04
: 70.0%	7000	44	6:55
: 80.0%	8000	44.4	3:58
: 90.0%	9000	44.7	1:44
: 100.0%	10000	45.1	0:00
: 10.0%	1000	41	--
: 20.0%	2000	41.1	1:53:16
: 30.0%	3000	41.2	49:57
: 40.0%	4000	41.2	28:46
: 50.0%	5000	41.3	18:07
: 60.0%	6000	41.4	11:41
: 70.0%	7000	41.4	7:21
: 80.0%	8000	41.5	4:14
: 90.0%	9000	41.6	1:52
: 100.0%	10000	41.7	0:00
: 10.0%	1000	42	--
: 20.0%	2000	42.3	2:00:58
: 30.0%	3000	42.6	53:00
: 40.0%	4000	42.9	30:19
: 50.0%	5000	43.2	18:59
: 60.0%	6000	43.6	12:10
: 70.0%	7000	43.9	7:36
: 80.0%	8000	44.2	4:21
: 90.0%	9000	44.5	1:54
: 100.0%	10000	44.8	0:00
: 10.0%	1000	41.1	--
: 20.0%	2000	41.2	2:04:15
: 30.0%	3000	41.2	54:44
: 40.0%	4000	41.3	31:30
: 50.0%	5000	41.4	19:50
: 60.0%	6000	41.5	12:46
: 70.0%	7000	41.5	8:02
: 80.0%	8000	41.6	4:37
: 90.0%	9000	41.6	2:02
: 100.0%	10000	41.7	0:00
: 10.0%	1000	42	--
: 20.0%	2000	42.3	2:11:51
: 30.0%	3000	42.6	57:45
: 40.0%	4000	42.9	33:03
: 50.0%	5000	43.2	20:41
: 60.0%	6000	43.5	13:15
: 70.0%	7000	43.7	8:17
: 80.0%	8000	44	4:44
: 90.0%	9000	44.3	2:04
: 100.0%	10000	44.6	0:00
: 10.0%	1000	41.2	--
: 20.0%	2000	41.2	2:15:11
: 30.0%	3000	41.3	59:32
: 40.0%	4000	41.4	34:15
: 50.0%	5000	41.4	21:33
: 60.0%	6000	41.5	13:52
: 70.0%	7000	41.5	8:44
: 80.0%	8000	41.6	5:01
: 90.0%	9000	41.7	2:12
: 100.0%	10000	41.7	0:00
: 10.0%	1000	42	--
: 20.0%	2000	42.3	2:22:52
: 30.0%	3000	42.5	1:02:35
: 40.0%	4000	42.8	35:48
: 50.0%	5000	43.1	22:24
: 60.0%	6000	43.3	14:21
: 70.0%	7000	43.6	8:59
: 80.0%	8000	43.9	5:08
: 90.0%	9000	44.1	2:15
: 100.0%	10000	44.4	0:00
: 10.0%	1000	41.2	--
: 20.0%	2000	41.3	2:26:13
: 30.0%	3000	41.3	1:04:22
: 40.0%	4000	41.4	37:00
: 50.0%	5000	41.5	23:16
: 60.0%	6000	41.5	14:58
: 70.0%	7000	41.6	9:25
: 80.0%	8000	41.6	5:24
: 90.0%	9000	41.7	2:23
: 100.0%	10000	41.7	0:00
: 10.0%	1000	42	--
: 20.0%	2000	42.2	2:33:53
: 30.0%	3000	42.5	1:07:24
: 40.0%	4000	42.7	38:33
: 50.0%	5000	43	24:07
: 60.0%	6000	43.2	15:27
: 70.0%	7000	43.5	9:40
: 80.0%	8000	43.7	5:32
: 90.0%	9000	44	2:25
: 100.0%	10000	44.2	0:00
: 10.0%	1000	41.3	--
: 20.0%	2000	41.3	2:37:10
: 30.0%	3000	41.4	1:09:09
: 40.0%	4000	41.5	39:44
: 50.0%	5000	41.5	24:59
: 60.0%	6000	41.6	16:04
: 70.0%	7000	41.6	10:06
: 80.0%	8000	41.7	5:48
: 90.0%	9000	41.7	2:33
: 100.0%	10000	41.8	0:00
: 10.0%	1000	42	--
: 20.0%	2000	42.2	2:44:47
: 30.0%	3000	42.5	1:12:10
: 40.0%	4000	42.7	41:17
: 50.0%	5000	42.9	25:49
: 60.0%	6000	43.2	16:32
: 70.0%	7000	43.4	10:21
: 80.0%	8000	43.6	5:55
: 90.0%	9000	43.9	2:35
: 100.0%	10000	44.1	0:00
: 10.0%	1000	41.3	--
: 20.0%	2000	41.4	2:48:03
: 30.0%	3000	41.4	1:13:55
: 40.0%	4000	41.5	42:28
: 50.0%	5000	41.5	26:41
: 60.0%	6000	41.6	17:10
: 70.0%	7000	41.7	10:47
: 80.0%	8000	41.7	6:11
: 90.0%	9000	41.7	2:43
: 100.0%	10000	41.8	0:00
: 10.0%	1000	42	--
: 20.0%	2000	42.2	2:55:43
: 30.0%	3000	42.4	1:16:57
: 40.0%	4000	42.7	44:01
: 50.0%	5000	42.9	27:32
: 60.0%	6000	43.1	17:38
: 70.0%	7000	43.3	11:02
: 80.0%	8000	43.5	6:18
: 90.0%	9000	43.7	2:45
: 100.0%	10000	44	0:00
: 10.0%	1000	41.4	--
: 20.0%	2000	41.4	2:59:01
: 30.0%	3000	41.5	1:18:43
: 40.0%	4000	41.5	45:12
: 50.0%	5000	41.6	28:23
: 60.0%	6000	41.6	18:15
: 70.0%	7000	41.7	11:28
: 80.0%	8000	41.7	6:35
: 90.0%	9000	41.8	2:53
: 100.0%	10000	41.8	0:00
: 10.0%	1000	42	--
: 20.0%	2000	42.2	3:06:41
: 30.0%	3000	42.4	1:21:45
: 40.0%	4000	42.6	46:45
: 50.0%	5000	42.8	29:15
: 60.0%	6000	43	18:44
: 70.0%	7000	43.2	11:43
: 80.0%	8000	43.4	6:42
: 90.0%	9000	43.6	2:56
: 100.0%	10000	43.9	0:00
: 10.0%	1000	41.4	--
: 20.0%	2000	41.5	3:10:02
: 30.0%	3000	41.5	1:23:32
: 40.0%	4000	41.5	47:58
: 50.0%	5000	41.6	30:07
: 60.0%	6000	41.6	19:22
: 70.0%	7000	41.7	12:09
: 80.0%	8000	41.7	6:58
: 90.0%	9000	41.8	3:04
: 100.0%	10000	41.8	0:00
: 10.0%	1000	42	--
: 20.0%	2000	42.2	3:17:40
: 30.0%	3000	42.4	1:26:33
: 40.0%	4000	42.6	49:30
: 50.0%	5000	42.8	30:58
: 60.0%	6000	43	19:50
: 70.0%	7000	43.2	12:24
: 80.0%	8000	43.4	7:05
: 90.0%	9000	43.6	3:06
: 100.0%	10000	43.7	0:00
: 10.0%	1000	41.5	--
: 20.0%	2000	41.5	3:21:01
: 30.0%	3000	41.5	1:28:21
: 40.0%	4000	41.6	50:43
: 50.0%	5000	41.6	31:50
: 60.0%	6000	41.6	20:28
: 70.0%	7000	41.7	12:50
: 80.0%	8000	41.7	7:22
: 90.0%	9000	41.8	3:14
: 100.0%	10000	41.8	0:00
: 10.0%	1000	42	--
: 20.0%	2000	42.2	3:28:43
: 30.0%	3000	42.4	1:31:23
: 40.0%	4000	42.5	52:16
: 50.0%	5000	42.7	32:41
: 60.0%	6000	42.9	20:56
: 70.0%	7000	43.1	13:05
: 80.0%	8000	43.3	7:29
: 90.0%	9000	43.5	3:16
: 100.0%	10000	43.6	0:00
: 10.0%	1000	41.5	--
: 20.0%	2000	41.5	3:32:05
: 30.0%	3000	41.5	1:33:11
: 40.0%	4000	41.6	53:28
: 50.0%	5000	41.6	33:34
: 60.0%	6000	41.7	21:34
: 70.0%	7000	41.7	13:32
: 80.0%	8000	41.7	7:46
: 90.0%	9000	41.8	3:24
: 100.0%	10000	41.8	0:00
: 10.0%	1000	42	--
: 20.0%	2000	42.1	3:39:50
: 30.0%	3000	42.3	1:36:15
: 40.0%	4000	42.5	55:02
: 50.0%	5000	42.7	34:25
: 60.0%	6000	42.8	22:03
: 70.0%	7000	43	13:47
: 80.0%	8000	43.2	7:53
: 90.0%	9000	43.4	3:27
: 100.0%	10000	43.5	0:00
: 10.0%	1000	41.5	--
: 20.0%	2000	41.5	3:43:10
: 30.0%	3000	41.5	1:38:02
: 40.0%	4000	41.6	56:15
: 50.0%	5000	41.6	35:17
: 60.0%	6000	41.7	22:40
: 70.0%	7000	41.7	14:13
: 80.0%	8000	41.7	8:09
: 90.0%	9000	41.8	3:35
: 100.0%	10000	41.8	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	42.1	3:50:52
: 30.0%	3000	42.3	1:41:05
: 40.0%	4000	42.4	57:48
: 50.0%	5000	42.6	36:09
: 60.0%	6000	42.8	23:09
: 70.0%	7000	42.9	14:29
: 80.0%	8000	43.1	8:17
: 90.0%	9000	43.3	3:37
: 100.0%	10000	43.4	0:00
: 10.0%	1000	41.5	--
: 20.0%	2000	41.5	3:54:11
: 30.0%	3000	41.6	1:42:51
: 40.0%	4000	41.6	59:00
: 50.0%	5000	41.6	37:01
: 60.0%	6000	41.7	23:47
: 70.0%	7000	41.7	14:55
: 80.0%	8000	41.7	8:33
: 90.0%	9000	41.8	3:45
: 100.0%	10000	41.8	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	42.1	4:01:54
: 30.0%	3000	42.3	1:45:54
: 40.0%	4000	42.4	1:00:33
: 50.0%	5000	42.6	37:52
: 60.0%	6000	42.7	24:15
: 70.0%	7000	42.9	15:10
: 80.0%	8000	43.1	8:40
: 90.0%	9000	43.2	3:47
: 100.0%	10000	43.4	0:00
: 10.0%	1000	41.5	--
: 20.0%	2000	41.5	4:05:11
: 30.0%	3000	41.6	1:47:40
: 40.0%	4000	41.6	1:01:45
: 50.0%	5000	41.6	38:43
: 60.0%	6000	41.7	24:52
: 70.0%	7000	41.7	15:36
: 80.0%	8000	41.7	8:56
: 90.0%	9000	41.8	3:55
: 100.0%	10000	41.8	0:00
: 10.0%	1000	42	--
: 20.0%	2000	42.1	4:12:48
: 30.0%	3000	42.3	1:50:40
: 40.0%	4000	42.4	1:03:17
: 50.0%	5000	42.6	39:34
: 60.0%	6000	42.7	25:21
: 70.0%	7000	42.9	15:51
: 80.0%	8000	43	9:03
: 90.0%	9000	43.2	3:58
: 100.0%	10000	43.3	0:00
: 10.0%	1000	41.5	--
: 20.0%	2000	41.6	4:16:07
: 30.0%	3000	41.6	1:52:27
: 40.0%	4000	41.6	1:04:29
: 50.0%	5000	41.7	40:26
: 60.0%	6000	41.7	25:58
: 70.0%	7000	41.7	16:17
: 80.0%	8000	41.7	9:20
: 90.0%	9000	41.8	4:06
: 100.0%	10000	41.8	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	42.1	4:23:52
: 30.0%	3000	42.2	1:55:31
: 40.0%	4000	42.4	1:06:03
: 50.0%	5000	42.5	41:18
: 60.0%	6000	42.7	26:27
: 70.0%	7000	42.8	16:32
: 80.0%	8000	43	9:27
: 90.0%	9000	43.1	4:08
: 100.0%	10000	43.2	0:00
: 10.0%	1000	41.5	--
: 20.0%	2000	41.6	4:27:10
: 30.0%	3000	41.6	1:57:17
: 40.0%	4000	41.6	1:07:15
: 50.0%	5000	41.6	42:10
: 60.0%	6000	41.7	27:05
: 70.0%	7000	41.7	16:59
: 80.0%	8000	41.7	9:44
: 90.0%	9000	41.8	4:16
: 100.0%	10000	41.8	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	42.1	4:34:58
: 30.0%	3000	42.2	2:00:22
: 40.0%	4000	42.3	1:08:49
: 50.0%	5000	42.5	43:02
: 60.0%	6000	42.6	27:34
: 70.0%	7000	42.8	17:14
: 80.0%	8000	42.9	9:51
: 90.0%	9000	43	4:18
: 100.0%	10000	43.2	0:00
: 10.0%	1000	41.5	--
: 20.0%	2000	41.6	4:38:18
: 30.0%	3000	41.6	2:02:10
: 40.0%	4000	41.6	1:10:02
: 50.0%	5000	41.6	43:55
: 60.0%	6000	41.7	28:12
: 70.0%	7000	41.7	17:41
: 80.0%	8000	41.7	10:08
: 90.0%	9000	41.7	4:26
: 100.0%	10000	41.8	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	42	4:46:05
: 30.0%	3000	42.2	2:05:14
: 40.0%	4000	42.3	1:11:36
: 50.0%	5000	42.4	44:46
: 60.0%	6000	42.6	28:40
: 70.0%	7000	42.7	17:56
: 80.0%	8000	42.8	10:15
: 90.0%	9000	43	4:29
: 100.0%	10000	43.1	0:00
: 10.0%	1000	41.5	--
: 20.0%	2000	41.6	4:49:25
: 30.0%	3000	41.6	2:07:02
: 40.0%	4000	41.6	1:12:48
: 50.0%	5000	41.6	45:39
: 60.0%	6000	41.7	29:18
: 70.0%	7000	41.7	18:22
: 80.0%	8000	41.7	10:31
: 90.0%	9000	41.7	4:37
: 100.0%	10000	41.8	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	42	4:57:09
: 30.0%	3000	42.2	2:10:05
: 40.0%	4000	42.3	1:14:22
: 50.0%	5000	42.4	46:30
: 60.0%	6000	42.5	29:47
: 70.0%	7000	42.7	18:37
: 80.0%	8000	42.8	10:39
: 90.0%	9000	42.9	4:39
: 100.0%	10000	43.1	0:00
: 10.0%	1000	41.5	--
: 20.0%	2000	41.6	5:00:29
: 30.0%	3000	41.6	2:11:51
: 40.0%	4000	41.6	1:15:34
: 50.0%	5000	41.6	47:22
: 60.0%	6000	41.7	30:24
: 70.0%	7000	41.7	19:03
: 80.0%	8000	41.7	10:55
: 90.0%	9000	41.7	4:47
: 100.0%	10000	41.8	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	42	5:08:10
: 30.0%	3000	42.1	2:14:54
: 40.0%	4000	42.3	1:17:08
: 50.0%	5000	42.4	48:14
: 60.0%	6000	42.5	30:53
: 70.0%	7000	42.6	19:18
: 80.0%	8000	42.8	11:02
: 90.0%	9000	42.9	4:50
: 100.0%	10000	43	0:00
: 10.0%	1000	41.6	--
: 20.0%	2000	41.6	5:11:25
: 30.0%	3000	41.6	2:16:38
: 40.0%	4000	41.6	1:18:19
: 50.0%	5000	41.7	49:05
: 60.0%	6000	41.7	31:30
: 70.0%	7000	41.7	19:45
: 80.0%	8000	41.7	11:19
: 90.0%	9000	41.8	4:57
: 100.0%	10000	41.8	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	42	5:19:05
: 30.0%	3000	42.1	2:19:40
: 40.0%	4000	42.3	1:19:51
: 50.0%	5000	42.4	49:56
: 60.0%	6000	42.5	31:58
: 70.0%	7000	42.6	19:59
: 80.0%	8000	42.7	11:26
: 90.0%	9000	42.9	5:00
: 100.0%	10000	43	0:00
: 10.0%	1000	41.6	--
: 20.0%	2000	41.6	5:22:21
: 30.0%	3000	41.6	2:21:26
: 40.0%	4000	41.6	1:21:02
: 50.0%	5000	41.7	50:47
: 60.0%	6000	41.7	32:35
: 70.0%	7000	41.7	20:25
: 80.0%	8000	41.8	11:42
: 90.0%	9000	41.8	5:08
: 100.0%	10000	41.8	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	42	5:30:00
: 30.0%	3000	42.1	2:24:27
: 40.0%	4000	42.3	1:22:35
: 50.0%	5000	42.4	51:38
: 60.0%	6000	42.5	33:04
: 70.0%	7000	42.6	20:40
: 80.0%	8000	42.7	11:49
: 90.0%	9000	42.8	5:10
: 100.0%	10000	43	0:00
: 10.0%	1000	41.6	--
: 20.0%	2000	41.6	5:33:17
: 30.0%	3000	41.6	2:26:13
: 40.0%	4000	41.7	1:23:46
: 50.0%	5000	41.7	52:30
: 60.0%	6000	41.7	33:41
: 70.0%	7000	41.7	21:07
: 80.0%	8000	41.8	12:05
: 90.0%	9000	41.8	5:18
: 100.0%	10000	41.8	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	42	5:40:59
: 30.0%	3000	42.1	2:29:16
: 40.0%	4000	42.3	1:25:20
: 50.0%	5000	42.4	53:21
: 60.0%	6000	42.5	34:10
: 70.0%	7000	42.6	21:22
: 80.0%	8000	42.7	12:12
: 90.0%	9000	42.8	5:20
: 100.0%	10000	42.9	0:00
: 10.0%	1000	41.6	--
: 20.0%	2000	41.6	5:44:20
: 30.0%	3000	41.6	2:31:02
: 40.0%	4000	41.7	1:26:32
: 50.0%	5000	41.7	54:13
: 60.0%	6000	41.7	34:47
: 70.0%	7000	41.7	21:48
: 80.0%	8000	41.8	12:29
: 90.0%	9000	41.8	5:28
: 100.0%	10000	41.8	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	42	5:51:59
: 30.0%	3000	42.1	2:34:04
: 40.0%	4000	42.2	1:28:05
: 50.0%	5000	42.4	55:04
: 60.0%	6000	42.5	35:16
: 70.0%	7000	42.6	22:03
: 80.0%	8000	42.7	12:36
: 90.0%	9000	42.8	5:31
: 100.0%	10000	42.9	0:00
: 10.0%	1000	41.6	--
: 20.0%	2000	41.6	5:55:18
: 30.0%	3000	41.7	2:35:50
: 40.0%	4000	41.7	1:29:16
: 50.0%	5000	41.7	55:56
: 60.0%	6000	41.7	35:53
: 70.0%	7000	41.7	22:29
: 80.0%	8000	41.8	12:53
: 90.0%	9000	41.8	5:39
: 100.0%	10000	41.8	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	42	6:03:01
: 30.0%	3000	42.1	2:38:54
: 40.0%	4000	42.2	1:30:50
: 50.0%	5000	42.3	56:48
: 60.0%	6000	42.4	36:22
: 70.0%	7000	42.5	22:44
: 80.0%	8000	42.7	13:00
: 90.0%	9000	42.8	5:41
: 100.0%	10000	42.9	0:00
: 10.0%	1000	41.6	--
: 20.0%	2000	41.6	6:06:20
: 30.0%	3000	41.7	2:40:41
: 40.0%	4000	41.7	1:32:02
: 50.0%	5000	41.7	57:40
: 60.0%	6000	41.7	37:00
: 70.0%	7000	41.7	23:11
: 80.0%	8000	41.8	13:16
: 90.0%	9000	41.8	5:49
: 100.0%	10000	41.8	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	42	6:14:06
: 30.0%	3000	42.1	2:43:45
: 40.0%	4000	42.2	1:33:37
: 50.0%	5000	42.3	58:32
: 60.0%	6000	42.4	37:28
: 70.0%	7000	42.5	23:26
: 80.0%	8000	42.6	13:23
: 90.0%	9000	42.7	5:51
: 100.0%	10000	42.8	0:00
: 10.0%	1000	41.6	--
: 20.0%	2000	41.6	6:17:24
: 30.0%	3000	41.7	2:45:30
: 40.0%	4000	41.7	1:34:48
: 50.0%	5000	41.7	59:23
: 60.0%	6000	41.7	38:06
: 70.0%	7000	41.7	23:52
: 80.0%	8000	41.8	13:40
: 90.0%	9000	41.8	5:59
: 100.0%	10000	41.8	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	42	6:25:02
: 30.0%	3000	42.1	2:48:31
: 40.0%	4000	42.2	1:36:20
: 50.0%	5000	42.3	1:00:14
: 60.0%	6000	42.4	38:34
: 70.0%	7000	42.5	24:07
: 80.0%	8000	42.6	13:47
: 90.0%	9000	42.7	6:02
: 100.0%	10000	42.8	0:00
: 10.0%	1000	41.6	--
: 20.0%	2000	41.7	6:28:19
: 30.0%	3000	41.7	2:50:16
: 40.0%	4000	41.7	1:37:31
: 50.0%	5000	41.7	1:01:06
: 60.0%	6000	41.7	39:11
: 70.0%	7000	41.8	24:33
: 80.0%	8000	41.8	14:03
: 90.0%	9000	41.8	6:10
: 100.0%	10000	41.8	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	42	6:36:02
: 30.0%	3000	42.1	2:53:20
: 40.0%	4000	42.2	1:39:05
: 50.0%	5000	42.3	1:01:57
: 60.0%	6000	42.4	39:40
: 70.0%	7000	42.5	24:48
: 80.0%	8000	42.6	14:10
: 90.0%	9000	42.7	6:12
: 100.0%	10000	42.8	0:00
: 10.0%	1000	41.6	--
: 20.0%	2000	41.7	6:39:19
: 30.0%	3000	41.7	2:55:06
: 40.0%	4000	41.7	1:40:17
: 50.0%	5000	41.7	1:02:49
: 60.0%	6000	41.7	40:17
: 70.0%	7000	41.8	25:14
: 80.0%	8000	41.8	14:27
: 90.0%	9000	41.8	6:20
: 100.0%	10000	41.8	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	42	6:46:56
: 30.0%	3000	42.1	2:58:07
: 40.0%	4000	42.2	1:41:49
: 50.0%	5000	42.3	1:03:40
: 60.0%	6000	42.4	40:45
: 70.0%	7000	42.5	25:29
: 80.0%	8000	42.6	14:34
: 90.0%	9000	42.7	6:22
: 100.0%	10000	42.8	0:00
: 10.0%	1000	41.7	--
: 20.0%	2000	41.7	6:50:14
: 30.0%	3000	41.7	2:59:52
: 40.0%	4000	41.7	1:43:00
: 50.0%	5000	41.7	1:04:31
: 60.0%	6000	41.7	41:23
: 70.0%	7000	41.8	25:55
: 80.0%	8000	41.8	14:50
: 90.0%	9000	41.8	6:30
: 100.0%	10000	41.8	0:00
: 10.0%	1000	41.9	--
: 20.0%	2000	42	6:57:57
: 30.0%	3000	42.1	3:02:55
: 40.0%	4000	42.2	1:44:34
: 50.0%	5000	42.3	1:05:23
: 60.0%	6000	42.4	41:51
: 70.0%	7000	42.5	26:10
: 80.0%	8000	42.6	14:57
: 90.0%	9000	42.7	6:32
: 100.0%	10000	42.7	0:00
: 10.0%	1000	41.7	--
: 20.0%	2000	41.7	7:01:13
: 30.0%	3000	41.7	3:04:41
: 40.0%	4000	41.7	1:45:45
